Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
DEMZ,DEMZ Political Contributions ETF,22.9709,,,,,https://old.nasdaq.com/symbol/demz,
DNLI,Denali Therapeutics Inc.,73.03,$8.76B,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dnli,
DENN,Denny&#39;s Corporation,16.26,$1.04B,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/denn,
XRAY,DENTSPLY SIRONA Inc.,58.44,$12.77B,1987.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/xray,
DMTK,"DermTech, Inc.",39.0,$991.38M,2017.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/dmtk,
DSWL,"Deswell Industries, Inc.",3.11,$49.5M,1995.0,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/dswl,
DXCM,"DexCom, Inc.",354.2,$34.01B,2005.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxcm,
DFPH,DFP Healthcare Acquisitions Corp.,11.02,$316.83M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dfph,
DFPHU,DFP Healthcare Acquisitions Corp.,11.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/dfphu,
DMAC,DiaMedica Therapeutics Inc.,10.04,$188.14M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dmac,
DHIL,"Diamond Hill Investment Group, Inc.",152.01,$480.85M,,Finance,Investment Managers,https://old.nasdaq.com/symbol/dhil,
FANG,"Diamondback Energy, Inc.",59.235,$9.36B,2012.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/fang,
DRNA,"Dicerna Pharmaceuticals, Inc.",23.57,$1.77B,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/drna,
DFFN,Diffusion Pharmaceuticals Inc.,1.13,$72.34M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dffn,
DGII,Digi International Inc.,19.08,$565.15M,1989.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/dgii,
DMRC,Digimarc Corporation,44.88,$741.14M,,Technology,EDP Services,https://old.nasdaq.com/symbol/dmrc,
EQOS,Diginex Limited,18.0,$570.88M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/eqos,
DGLY,"Digital Ally, Inc.",3.05,$81.66M,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/dgly,
APPS,"Digital Turbine, Inc.",55.99,$4.97B,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/apps,
DCOM,"Dime Community Bancshares, Inc.",17.39,$574.7M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/dcom,
DCOMP,"Dime Community Bancshares, Inc.",25.53,,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/dcomp,
DIOD,Diodes Incorporated,76.94,$4B,,Technology,Semiconductors,https://old.nasdaq.com/symbol/diod,
DRTT,DIRTT Environmental Solutions Ltd.,2.36,$199.85M,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/drtt,
DISCA,"Discovery, Inc.",36.76,$18.05B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/disca,
DISCB,"Discovery, Inc.",37.6,$18.47B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/discb,
DISCK,"Discovery, Inc.",32.35,$15.89B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/disck,
DISH,DISH Network Corporation,33.12,$17.42B,1995.0,Consumer Services,Television Services,https://old.nasdaq.com/symbol/dish,
DHC,Diversified Healthcare Trust ,4.65,$1.11B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dhc,
DHCNI,Diversified Healthcare Trust ,23.31,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dhcni,
DLHC,DLH Holdings Corp.,11.04,$138.35M,,Technology,Professional Services,https://old.nasdaq.com/symbol/dlhc,
BOOM,DMC Global Inc.,49.98,$738.39M,,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/boom,
DCBO,Docebo Inc.,54.5,$1.78B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dcbo,
DOCU,"DocuSign, Inc.",249.28,$46.5B,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/docu,
DOGZ,Dogness (International) Corporation,2.03,$52.6M,2017.0,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/dogz,
DLTR,"Dollar Tree, Inc.",108.34,$25.48B,1995.0,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dltr,
